id,name,pagerank,url,party,committee,state,district
23,United States. Congress. Joint Committee on Taxation.,0.011352396,http://www.house.gov/jct/,N,N,,
24,United States. Congress. Joint Economic Committee.,5.85E-04,http://jec.senate.gov/home.htm,N,N,,
25,United States. Congress. Joint Economic Committee.,0.003772066,http://www.house.gov/jec/,N,N,,
26,United States. Congress. Senate. Committee on Agriculture and Forestry.,0.002804592,http://agriculture.senate.gov/,N,N,,
27,United States. Congress. Senate. Committee on Appropriations.,0.008829533,http://appropriations.senate.gov/,N,N,,
28,United States. Congress. Senate. Committee on Armed Services.,0.002218954,http://armed-services.senate.gov/,N,N,,
29,"United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs.",0.001856626,http://banking.senate.gov/,N,N,,
30,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation.",0.008296665,http://commerce.senate.gov/,N,N,,
31,United States. Congress. Senate. Committee on Energy and Natural Resources.,0.007071563,http://energy.senate.gov/,N,N,,
32,United States. Congress. Senate. Committee on Environment and Public Works.,0.002911599,http://epw.senate.gov/,N,N,,
33,United States. Congress. Senate. Committee on Finance.,0.003170592,http://finance.senate.gov/,N,N,,
34,United States. Congress. Senate. Committee on Foreign Relations.,0.00343656,http://foreign.senate.gov/,N,N,,
35,"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions.",7.66E-04,http://labor.senate.gov/,N,N,,
36,United States. Congress. Senate. Committee on Indian Affairs.,6.84E-04,http://indian.senate.gov/nsindex.html,N,N,,
37,United States. Congress. Senate. Committee on Rules and Administration.,0.003027783,http://rules.senate.gov/,N,N,,
38,United States. Congress. Senate. Committee on the Budget.,0.002626219,http://budget.senate.gov/,N,N,,
39,United States. Congress. Senate. Committee on the Judiciary.,0.005713588,http://judiciary.senate.gov/,N,N,,
40,United States. Congress. Senate. Committee on Veterans' Affairs.,0.003441261,http://veterans.senate.gov/,N,N,,
41,United States. Congress. Senate. Select Committee on Ethics.,6.03E-04,http://ethics.senate.gov/,N,N,,
42,United States. Congress. Senate. Select Committee on Intelligence.,0.004956601,http://intelligence.senate.gov/,N,N,,
43,United States. Congress. Senate. Special Committee on Aging.,0.002777383,http://aging.senate.gov/,N,N,,
44,"Abercrombie, Neil",0.001078899,http://www.house.gov/abercrombie/,D,H,Hawaii,1
45,"Ackerman, Gary",6.28E-04,http://www.house.gov/ackerman/,D,H,New York,5
46,"Aderholt, Robert B.",6.89E-04,http://www.house.gov/aderholt/,R,H,Alabama,4
47,"Akin, Todd",0.001211948,http://www.house.gov/akin/,R,H,Missouri,2
48,"Alexander, Rodney",0.001101445,http://www.house.gov/alexander/,R,H,Louisiana,5
49,"Allen, Tom",7.39E-04,http://tomallen.house.gov/,D,H,Maine,1
50,"Andrews, Robert E.",0.001291874,http://www.house.gov/andrews/,D,H,New Jersey,1
51,"Baca, Joe",0.001150512,http://www.house.gov/baca/,D,H,California,43
52,"Bachus, Spencer",7.02E-04,http://www.house.gov/bachus/,R,H,Alabama,6
53,"Baird, Brian",9.51E-04,http://www.house.gov/baird/,D,H,Washington,3
54,"Baker, Richard",0.002100784,http://www.house.gov/baker/,R,H,Louisiana,6
55,"Baldwin, Tammy",8.16E-04,http://tammybaldwin.house.gov/,D,H,Wisconsin,2
56,"Ballance, Frank W.",0.001159709,http://www.house.gov/ballance/,D,H,North Carolina,1
57,"Ballenger, Cass",0,http://ballenger.house.gov/,R,H,North Carolina,10
58,"Barrett, J. Gresham",8.17E-04,http://www.house.gov/barrett/,R,H,South Carolina,3
59,"Bartlett, Roscoe G.",6.24E-04,http://www.bartlett.house.gov/,R,H,Maryland,6
60,"Barton, Joe",0,http://joebarton.house.gov/,R,H,Texas,6
61,"Bass, Charles F.",8.19E-04,http://www.house.gov/bass/,R,H,New Hampshire,2
62,"Beauprez, Bob",0.001927638,http://www.house.gov/beauprez/,R,H,Colorado,7
63,"Becerra, Xavier",8.75E-04,http://www.house.gov/becerra/,D,H,California,31
64,"Bell, Chris",5.84E-04,http://bell.house.gov/,D,H,Texas,25
65,"Bereuter, Doug",0.001838105,http://www.house.gov/bereuter/,R,H,Nebraska,1
66,"Berkley, Shelley",0.001139683,http://www.house.gov/berkley/,D,H,Nevada,1
67,"Berman, Howard L.",8.02E-04,http://www.house.gov/berman/,D,H,California,28
68,"Berry, Marion",0.001279865,http://www.house.gov/berry/,D,H,Arkansas,1
69,"Biggert, Judy",0,http://judybiggert.house.gov/,R,H,Illinois,13
70,"Bilirakis, Mike",0.001200589,http://www.house.gov/bilirakis/,R,H,Florida,9
71,"Bishop, Rob",0.001032377,http://www.house.gov/bishop/,R,H,Utah,1
72,"Bishop, Sanford D.",8.10E-04,http://www.house.gov/robbishop/,D,H,Georgia,2
73,"Bishop, Timothy H.",0,http://wwwc.house.gov/timbishop/,D,H,New York,1
74,"Blackburn, Marsha",0.002003587,http://www.house.gov/blackburn/,R,H,Tennessee,7
75,"Blumenauer, Earl",0.001184428,http://www.house.gov/blumenauer/,D,H,Oregon,3
76,"Blunt, Roy",6.21E-04,http://www.house.gov/blunt/,R,H,Missouri,7
77,"Boehlert, Sherwood",0.00220773,http://www.house.gov/boehlert/,D,H,New York,24
78,"Boehner, John",0.001104785,http://johnboehner.house.gov/,R,H,Ohio,8
79,"Bonilla, Henry",0,http://www.house.gov/bonilla/,R,H,Texas,23
80,"Bonner, Jo",9.58E-04,http://www.house.gov/bonner/,R,H,Alabama,1
81,"Bono, Mary",6.16E-04,http://www.house.gov/bono/,R,H,California,45
82,"Boozman, John",0.001409695,http://www.house.gov/boozman/,R,H,Arkansas,3
83,"Bordallo, Madeleine Z.",9.72E-04,http://www.house.gov/bordallo/,D,H,Guam,
84,"Boswell, Leonard",0.001352314,http://www.house.gov/boswell/,D,H,Iowa,3
85,"Boucher, Rick",0.001444858,http://www.house.gov/boucher/,D,H,Virginia,9
86,"Boyd, Allen",6.99E-04,http://www.house.gov/boyd/,D,H,Florida,2
87,"Bradley, Jeb",0.001545114,http://www.house.gov/bradley/,R,H,New Hampshire,1
88,"Brady, Kevin",0.001509486,http://www.house.gov/brady/,R,H,Texas,8
89,"Brady, Robert A.",0.001320748,http://www.house.gov/robertbrady/,D,H,Pennsylvania,1
90,"Brown-Waite, Virginia ""Ginny""",0.002031402,http://www.house.gov/brown-waite/,R,H,Florida,5
91,"Brown, Corrine",0.001328659,http://www.house.gov/corrinebrown/,D,H,Florida,3
92,"Brown, Henry",0.001441953,http://www.house.gov/henrybrown/,R,H,South Carolina,1
93,"Brown, Sherrod",6.46E-04,http://www.house.gov/sherrodbrown/,D,H,Ohio,13
94,"Burgess, Michael C.",5.84E-04,http://burgess.house.gov/,R,H,Texas,26
95,"Burr, Richard",9.60E-04,http://www.house.gov/burr/,R,H,North Carolina,5
96,"Burton, Dan",0.004455001,http://www.house.gov/burton/,R,H,Indiana,5
97,"Buyer, Steve",0.001825904,http://www.house.gov/buyer/,R,H,Indiana,4
98,"Calvert, Ken",0.001213062,http://www.house.gov/calvert/,R,H,California,44
99,"Camp, Dave",6.23E-04,http://wwwc.house.gov/camp/,R,H,Michigan,4
100,"Cannon, Chris",0.001481166,http://www.house.gov/cannon/,R,H,Utah,3
101,"Cantor, Eric",8.63E-04,http://cantor.house.gov/,R,H,Virginia,7
102,"Capito, Shelley Moore",7.58E-04,http://www.house.gov/capito/,R,H,West Virginia,2
103,"Capps, Lois",7.39E-04,http://www.house.gov/capps/,D,H,California,23
104,"Capuano, Michael E.",0.001323811,http://www.house.gov/capuano/,D,H,Massachusetts,8
105,"Cardin, Ben",0.001259468,http://www.house.gov/cardin/,D,H,Maryland,3
106,"Cardoza, Dennis A.",0.001132515,http://www.house.gov/cardoza/,D,H,California,18
107,"Carson, Brad",6.64E-04,http://www.house.gov/bradcarson/,D,H,Oklahoma,2
108,"Carson, Julia",0.001263982,http://www.juliacarson.house.gov/,D,H,Indiana,7
109,"Carter, John R.",0.001475783,http://www.house.gov/carter/,R,H,Texas,31
110,"Case, Ed",5.84E-04,http://wwwc.house.gov/case/,D,H,Hawaii,2
111,"Castle, Michael N.",0.001982967,http://www.house.gov/castle/,R,H,Delaware,
112,"Chabot, Steve",0.001415511,http://www.house.gov/chabot/,R,H,Ohio,1
113,"Chocola, Chris",0.001811059,http://www.house.gov/chocola/,R,H,Indiana,2
114,"Christian-Christensen, Donna",0.001220339,http://www.house.gov/christian-christensen/,N,H,U.S. Virgin Islands,
115,"Clay, William Lacy, Jr.",6.07E-04,http://www.house.gov/clay/,D,H,Missouri,1
116,"Clyburn, James E.",0.001803339,http://www.house.gov/clyburn/,D,H,South Carolina,6
117,"Coble, Howard",0.001959388,http://www.house.gov/coble/,R,H,North Carolina,6
118,"Cole, Tom",0.001524615,http://www.house.gov/cole/,R,H,Oklahoma,4
119,"Collins, Mac",0.001060488,http://www.house.gov/maccollins/,R,H,Georgia,8
120,"Conyers, John",0.001649094,http://www.house.gov/conyers/,D,H,Michigan,14
121,"Costello, Jerry F.",6.40E-04,http://www.house.gov/costello/,D,H,Illinois,12
122,"Cox, Christopher",9.56E-04,http://cox.house.gov/,R,H,California,48
123,"Cramer, Bud",9.49E-04,http://www.house.gov/cramer/,D,H,Alabama,5
124,"Crane, Phil",0.002869276,http://www.house.gov/crane/,R,H,Illinois,8
125,"Crenshaw, Ander",5.84E-04,http://crenshaw.house.gov/,R,H,Florida,4
126,"Crowley, Joseph",0,http://crowley.house.gov/,D,H,New York,7
127,"Cubin, Barbara",0.001336529,http://www.house.gov/cubin/,R,H,Wyoming,
128,"Culberson, John",6.49E-04,http://www.culberson.house.gov/,R,H,Texas,7
129,"Cummings, Elijah E.",0.002224181,http://www.house.gov/cummings/,D,H,Maryland,7
130,"Cunningham, Randy ""Duke""",9.01E-04,http://www.house.gov/cunningham/,R,H,California,50
131,"Davis, Artur",7.55E-04,http://www.house.gov/arturdavis/,D,H,Alabama,7
132,"Davis, Danny K.",0.001210045,http://www.house.gov/davis/,D,H,Illinois,7
133,"Davis, Jim",0.001128908,http://www.house.gov/jimdavis/,D,H,Florida,11
134,"Davis, Jo Ann",7.98E-04,http://www.house.gov/joanndavis/,R,H,Virginia,1
135,"Davis, Lincoln",0.002475562,http://www.house.gov/lincolndavis/,D,H,Tennessee,4
136,"Davis, Susan A.",0.001859572,http://www.house.gov/susandavis/,D,H,California,53
137,"Davis, Thomas M.",7.54E-04,http://www.house.gov/tomdavis/,R,H,Virginia,11
138,"Deal, Nathan",7.09E-04,http://www.house.gov/deal/,R,H,Georgia,10
139,"DeFazio, Peter",7.78E-04,http://www.house.gov/defazio/index.htm,D,H,Oregon,4
140,"DeGette, Diana",6.13E-04,http://www.house.gov/degette/,D,H,Colorado,1
141,"Delahunt, Bill",0.001333874,http://www.house.gov/delahunt/,D,H,Massachusetts,10
142,"DeLauro, Rosa L.",6.42E-04,http://www.house.gov/delauro/,D,H,Connecticut,3
143,"DeLay, Tom",6.03E-04,http://tomdelay.house.gov/,R,H,Texas,22
144,"DeMint, Jim",0.001058325,http://www.demint.house.gov/,R,H,South Carolina,4
145,"Deutsch, Peter",7.02E-04,http://www.house.gov/deutsch/,D,H,Florida,20
146,"Diaz-Balart, Lincoln",7.90E-04,http://www.house.gov/diaz-balart/,R,H,Florida,21
147,"Diaz-Balart, Mario",0.002015929,http://www.house.gov/mariodiaz-balart/,R,H,Florida,25
148,"Dicks, Norm",0.001209357,http://www.house.gov/dicks/,D,H,Washington,6
149,"Dingell, John D.",7.06E-04,http://www.house.gov/dingell/,D,H,Michigan,15
150,"Doggett, Lloyd",8.65E-04,http://www.house.gov/doggett/,D,H,Texas,10
151,"Dooley, Cal",0.00119691,http://dooley.house.gov/,D,H,California,20
152,"Doolittle, John T.",0.00116162,http://www.house.gov/doolittle/,R,H,California,4
153,"Doyle, Mike",0,http://www.house.gov/doyle/,D,H,Pennsylvania,14
154,"Dreier, David",7.46E-04,http://dreier.house.gov/,R,H,California,26
155,"Duncan, John J.",0.002014819,http://www.house.gov/duncan/,R,H,Tennessee,2
156,"Dunn, Jennifer",0.001413426,http://www.house.gov/dunn/,R,H,Washington,8
157,"Edwards, Chet",6.44E-04,http://www.house.gov/edwards/,D,H,Texas,11
158,"Ehlers, Vernon J.",0.001717295,http://www.house.gov/ehlers/,R,H,Michigan,3
159,"Emanuel, Rahm",7.50E-04,http://www.house.gov/emanuel,D,H,Illinois,5
160,"Emerson, Jo Ann",0.00157685,http://www.house.gov/emerson/,R,H,Missouri,8
161,"Engel, Eliot L.",6.08E-04,http://www.house.gov/engel/,D,H,New York,17
162,"English, Phil",0.001817845,http://www.house.gov/english/,R,H,Pennsylvania,3
163,"Eshoo, Anna",0.001077682,http://www-eshoo.house.gov/,D,H,California,14
164,"Etheridge, Bob",0.001204873,http://www.house.gov/etheridge/,D,H,North Carolina,2
165,"Evans, Lane",0.001258659,http://www.house.gov/evans/,D,H,Illinois,17
166,"Everett, Terry",5.84E-04,http://wwwc.house.gov/everett/,R,H,Alabama,2
167,"Faleomavaega, Eni F. H.",0.001007966,http://www.house.gov/faleomavaega/,N,H,American Samoa,
168,"Farr, Sam",7.78E-04,http://www.house.gov/farr/,D,H,California,17
169,"Fattah, Chaka",0.001280379,http://www.house.gov/fattah/,D,H,Pennsylvania,2
170,"Feeney, Tom",0.001073228,http://www.house.gov/feeney/,R,H,Florida,24
171,"Ferguson, Mike",5.94E-04,http://www.house.gov/ferguson/,R,H,New Jersey,7
172,"Filner, Bob",0.001186424,http://www.house.gov/filner/,D,H,California,51
173,"Flake, Jeff",0.001307084,http://www.house.gov/flake/,R,H,Arizona,6
174,"Fletcher, Ernie",9.75E-04,http://www.house.gov/fletcher/,R,H,Kentucky,6
175,"Foley, Mark A.",0.002275218,http://www.house.gov/foley/,R,H,Florida,16
176,"Forbes, J. Randy",0.001342447,http://www.house.gov/forbes/,R,H,Virginia,4
177,"Ford, Harold",9.28E-04,http://www.house.gov/ford/,N,H,Tennessee,
178,"Fossella, Vito J.",6.19E-04,http://www.house.gov/fossella/,R,H,New York,13
179,"Frank, Barney",0.001336135,http://www.house.gov/frank/,D,H,Massachusetts,4
180,"Franks, Trent",9.03E-04,http://www.house.gov/franks/,R,H,Arizona,2
181,"Frelinghuysen, Rodney",0,http://www.house.gov/frelinghuysen/,R,H,New Jersey,11
182,"Frost, Martin",0.001104807,http://www.house.gov/frost/,D,H,Texas,24
183,"Gallegly, Elton",0.001724139,http://www.house.gov/gallegly/,R,H,California,24
184,"Garrett, Scott",7.01E-04,http://www.house.gov/garrett/,R,H,New Jersey,5
185,"Gephardt, Richard",7.41E-04,http://dickgephardt.house.gov/,D,H,Missouri,3
186,"Gerlach, Jim",0.00207493,http://www.house.gov/gerlach/,R,H,Pennsylvania,6
187,"Gibbons, Jim",0.001293399,http://www.house.gov/gibbons/,R,H,Nevada,2
188,"Gilchrest, Wayne",7.43E-04,http://gilchrest.house.gov/,R,H,Maryland,1
189,"Gillmor, Paul",6.12E-04,http://www.house.gov/gillmor/,R,H,Ohio,5
190,"Gingrey, Phil",0.001293896,http://www.house.gov/gingrey/,R,H,Georgia,11
191,"Gonzalez, Charlie A.",8.02E-04,http://www.house.gov/gonzalez/,D,H,Texas,20
192,"Goode, Virgil H.",7.33E-04,http://www.house.gov/goode/,R,H,Virginia,5
193,"Goodlatte, Bob",0.002279134,http://www.house.gov/goodlatte/,R,H,Virginia,6
194,"Gordon, Bart",6.03E-04,http://www.house.gov/gordon/,D,H,Tennessee,6
195,"Goss, Porter",6.03E-04,http://www.house.gov/goss/,R,H,Florida,14
196,"Granger, Kay",0.001036034,http://kaygranger.house.gov/,R,H,Texas,12
197,"Graves, Sam",0.002337248,http://www.house.gov/graves/,R,H,Missouri,6
198,"Green, Gene",9.03E-04,http://www.house.gov/green/,D,H,Texas,29
199,"Green, Mark",6.65E-04,http://www.house.gov/markgreen/,R,H,Wisconsin,8
200,"Greenwood, James",0.002248061,http://www.house.gov/greenwood/,R,H,Pennsylvania,8
201,"Gutierrez, Luis V.",0.001014044,http://luisgutierrez.house.gov/,D,H,Illinois,4
202,"Gutknecht, Gil",0.001211245,http://www.house.gov/gutknecht/,R,H,Minnesota,1
203,"Hall, Ralph",8.62E-04,http://www.house.gov/ralphhall/,D,H,Texas,4
204,"Harman, Jane",0.001265383,http://www.house.gov/harman/,D,H,California,36
205,"Harris, Katherine",5.84E-04,http://harris.house.gov/,R,H,Florida,13
206,"Hart, Melissa",6.69E-04,http://www.house.gov/hart/,R,H,Pennsylvania,4
207,"Hastert, J. Dennis",9.56E-04,http://www.house.gov/hastert/,R,H,Illinois,14
208,"Hastings, Alcee",8.69E-04,http://www.house.gov/alceehastings/,D,H,Florida,23
209,"Hastings, Doc",8.65E-04,http://www.house.gov/hastings/,R,H,Washington,4
210,"Hayes, Robin",6.57E-04,http://www.hayes.house.gov/,R,H,North Carolina,8
211,"Hayworth, J.D.",0.001237327,http://www.house.gov/hayworth/,R,H,Arizona,5
212,"Hefley, Joel",6.28E-04,http://www.house.gov/hefley/,R,H,Colorado,5
213,"Hensarling, Jeb",6.83E-04,http://www.house.gov/hensarling/,R,H,Texas,5
214,"Herger, Wally",9.75E-04,http://www.house.gov/herger/,R,H,California,2
215,"Hill, Baron",0.002565517,http://www.house.gov/baronhill/,D,H,Indiana,9
216,"Hinchey, Maurice",6.80E-04,http://www.house.gov/hinchey/,D,H,New York,22
217,"Hobson, Dave",6.51E-04,http://www.house.gov/hobson/,R,H,Ohio,7
218,"Hoeffel, Joe",0.001142615,http://www.house.gov/hoeffel/,D,H,Pennsylvania,13
219,"Hoekstra, Pete",0.003235751,http://www.house.gov/hoekstra/,R,H,Michigan,2
220,"Holden, Tim",0.001393204,http://www.house.gov/holden/,D,H,Pennsylvania,17
221,"Holt, Rush D., Jr.",7.10E-04,http://www.house.gov/rholt/,D,H,New Jersey,12
222,"Honda, Mike",6.82E-04,http://www.house.gov/honda/,D,H,California,15
223,"Hooley, Darlene",0.003184878,http://www.house.gov/hooley/,D,H,Oregon,5
224,"Hostettler, John",0.00129043,http://www.house.gov/hostettler/,R,H,Indiana,8
225,"Houghton, Amo",5.84E-04,http://houghton.house.gov/,R,H,New York,29
226,"Hoyer, Steny",8.41E-04,http://hoyer.house.gov/,D,H,Maryland,5
227,"Hulshof, Kenny",8.58E-04,http://www.house.gov/hulshof/,R,H,Missouri,9
228,"Hunter, Duncan",9.34E-04,http://www.house.gov/hunter/,R,H,California,52
229,"Hyde, Henry J.",0.001110813,http://www.house.gov/hyde/,R,H,Illinois,6
230,"Inslee, Jay",9.69E-04,http://www.house.gov/inslee/,D,H,Washington,1
231,"Isakson, Johnny",7.81E-04,http://isakson.house.gov/,R,H,Georgia,6
232,"Israel, Steve",7.39E-04,http://www.house.gov/israel/,D,H,New York,2
233,"Issa, Darrell",0,http://www.house.gov/issa/,R,H,California,49
234,"Istook, Ernest J.",0.001064434,http://www.house.gov/istook/,R,H,Oklahoma,5
235,"Jackson Lee, Sheila",0.001216181,http://www.house.gov/jacksonlee/,D,H,Texas,18
236,"Janklow, William J.",0,http://www.house.gov/janklow/,R,H,Louisiana,
237,"Jefferson, William",0.001402659,http://www.house.gov/jefferson/,D,H,South Dakota,2
238,"Jenkins, William L.",0.001271728,http://www.house.gov/jenkins/,R,H,Tennessee,1
239,"John, Chris",0.002073836,http://www.house.gov/john/,D,H,Louisiana,7
240,"Johnson, Eddie Bernice",0.001524201,http://www.house.gov/ebjohnson/,D,H,Texas,30
241,"Johnson, Nancy L.",0.001056269,http://www.house.gov/nancyjohnson/,R,H,Connecticut,5
242,"Johnson, Sam",8.84E-04,http://www.samjohnson.house.gov/,R,H,Texas,3
243,"Johnson, Timothy V.",0.001086801,http://www.house.gov/timjohnson/,R,H,Illinois,15
244,"Jones, Stephanie Tubbs",0.001052039,http://www.house.gov/tubbsjones/,D,H,Ohio,11
245,"Jones, Walter B.",9.92E-04,http://www.house.gov/jones/,R,H,North Carolina,3
246,"Kanjorski, Paul E.",0.001118005,http://www.house.gov/kanjorski/,D,H,Pennsylvania,11
247,"Kaptur, Marcy",7.81E-04,http://www.house.gov/kaptur/,D,H,Ohio,9
248,"Keller, Ric",8.56E-04,http://www.house.gov/keller/Frset.htm,R,H,Florida,8
249,"Kelly, Sue",0.001910374,http://www.house.gov/suekelly/,R,H,New York,19
250,"Kennedy, Mark",9.05E-04,http://markkennedy.house.gov/,R,H,Minnesota,6
251,"Kennedy, Patrick J.",6.05E-04,http://www.house.gov/patrickkennedy/,D,H,Rhode Island,1
252,"Kildee, Dale E.",0.001510771,http://www.house.gov/kildee/,D,H,Michigan,5
253,"Kilpatrick, Carolyn Cheeks",7.68E-04,http://www.house.gov/kilpatrick/,D,H,Michigan,13
254,"Kind, Ron",0.001553304,http://www.house.gov/kind/,D,H,Wisconsin,3
255,"King, Peter T.",7.81E-04,http://www.house.gov/king/,R,H,New York,3
256,"King, Steve",0.001569729,http://www.house.gov/steveking/,R,H,Iowa,5
257,"Kingston, Jack",6.64E-04,http://www.house.gov/kingston/,R,H,Georgia,1
258,"Kirk, Mark Steven",8.38E-04,http://www.house.gov/kirk/,R,H,Illinois,10
259,"Kleczka, Jerry",8.02E-04,http://www.house.gov/kleczka/,D,H,Wisconsin,4
260,"Knollenberg, Joe",0.00193084,http://www.house.gov/knollenberg/,R,H,Michigan,9
261,"Kolbe, Jim",6.23E-04,http://www.house.gov/kolbe/,R,H,Arizona,8
262,"Kucinich, Dennis J.",0.001274767,http://www.house.gov/kucinich/,D,H,Ohio,10
263,"LaHood, Ray",8.93E-04,http://www.house.gov/lahood/,R,H,Illinois,18
264,"Lampson, Nick",0.002088915,http://www.house.gov/lampson/,D,H,Texas,9
265,"Langevin, James",0.001419895,http://www.house.gov/langevin/,D,H,Rhode Island,2
266,"Lantos, Tom",0.002522182,http://www.house.gov/lantos/,D,H,California,12
267,"Larsen, Rick",0.001205917,http://www.house.gov/larsen/,D,H,Washington,2
268,"Larson, John B.",0.001227123,http://www.house.gov/larson/,D,H,Connecticut,1
269,"Latham, Tom",6.43E-04,http://www.house.gov/latham/,R,H,Iowa,4
270,"LaTourette, Steven C.",0.001725402,http://www.house.gov/latourette/,R,H,Ohio,14
271,"Leach, Jim",6.43E-04,http://www.house.gov/leach/,R,H,Iowa,2
272,"Lee, Barbara",7.50E-04,http://www.house.gov/lee/,D,H,California,9
273,"Lewis, Jerry",5.84E-04,http://www.house.gov/jerrylewis/,R,H,California,41
274,"Lewis, John",9.98E-04,http://www.house.gov/johnlewis/,D,H,Georgia,5
275,"Lewis, Ron",0.001303121,http://www.house.gov/ronlewis/,R,H,Kentucky,2
276,"Linder, John",0.00126228,http://www.house.gov/linder/,R,H,Georgia,7
277,"Lipinski, Bill",6.83E-04,http://www.house.gov/lipinski/,D,H,Illinois,3
278,"LoBiondo, Frank A.",0.001851244,http://www.house.gov/lobiondo/,R,H,New Jersey,2
279,"Lofgren, Zoe",0.001139596,http://zoelofgren.house.gov/,D,H,California,16
280,"Lowey, Nita M.",8.01E-04,http://www.house.gov/lowey/,D,H,New York,18
281,"Lucas, Frank",0.001131096,http://www.house.gov/lucas/,R,H,Oklahoma,3
282,"Lucas, Ken",0.001156325,http://www.house.gov/kenlucas/,R,H,Kentucky,4
283,"Lynch, Stephen F.",7.53E-04,http://www.house.gov/lynch/,D,H,Massachusetts,9
284,"Majette, Denise L.",0.0014032,http://www.house.gov/majette/,D,H,Georgia,4
285,"Maloney, Carolyn B.",0.00107671,http://www.house.gov/maloney/,D,H,New York,14
286,"Manzullo, Don",8.66E-04,http://www.house.gov/manzullo/,R,H,Illinois,16
287,"Markey, Edward J.",0.001251349,http://www.house.gov/markey/,D,H,Massachusetts,7
288,"Marshall, Jim",5.84E-04,http://jimmarshall.house.gov/,D,H,Louisiana,3
289,"Matheson, Jim",6.49E-04,http://matheson.house.gov/,D,H,Washington,2
290,"Matsui, Robert T.",0.001170706,http://www.house.gov/matsui/,D,H,California,5
291,"McCarthy, Carolyn",0.001080238,http://www.house.gov/carolynmccarthy/,D,H,New York,4
292,"McCarthy, Karen",6.68E-04,http://www.house.gov/karenmccarthy/,D,H,Missouri,5
293,"McCotter, Thaddeus G.",0.001255711,http://www.house.gov/mccotter/,R,H,Michigan,11
294,"McCrery, Jim",9.11E-04,http://www.house.gov/mccrery/,R,H,Georgia,4
295,"McDermott, Jim",0.001107031,http://www.house.gov/mcdermott/,D,H,Utah,7
296,"McGovern, James P.",0.001348986,http://www.house.gov/mcgovern/,D,H,Massachusetts,3
297,"McHugh, John M.",6.20E-04,http://www.house.gov/mchugh/,R,H,New York,23
298,"McInnis, Scott",0.001115905,http://www.house.gov/mcinnis/,R,H,Colorado,3
299,"McIntyre, Mike",0.001063971,http://www.house.gov/mcintyre/,D,H,North Carolina,7
300,"McKeon, Buck",0.001871808,http://www.house.gov/mckeon/,R,H,California,25
301,"McNulty, Michael",0.001163517,http://www.house.gov/mcnulty/,D,H,New York,21
302,"Meehan, Marty",0.002005009,http://www.house.gov/meehan/,D,H,Massachusetts,5
303,"Meek, Kendrick B.",8.40E-04,http://www.house.gov/kenmeek/,D,H,Florida,17
304,"Meeks, Gregory W.",6.80E-04,http://www.house.gov/meeks/,D,H,New York,6
305,"Menendez, Robert",5.94E-04,http://menendez.house.gov/,D,H,New Jersey,13
306,"Mica, John L.",0.001295628,http://www.house.gov/mica/,R,H,Florida,7
307,"Michaud, Michael H.",5.85E-04,http://michaud.house.gov/,D,H,Maine,2
308,"Millender-McDonald, Juanita",0.001125648,http://www.house.gov/millender-mcdonald/,D,H,California,37
309,"Miller, Brad",0.001092202,http://www.house.gov/bradmiller/,D,H,North Carolina,13
